"velocity:0","velocity:1","velocity:2","vtkGhostType","pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.28518,4.1632e-06,0,0,1.4914,1,0,5.1,0.2,0
0.29002,4.3757e-06,0,0,1.4914,1,0.0019,5.1,0.2019,0
0.29486,4.5882e-06,0,0,1.4914,1,0.0038,5.1,0.2038,0
0.2997,4.8008e-06,0,0,1.4914,1,0.0057,5.1,0.2057,0
0.30453,5.0133e-06,0,0,1.4914,1,0.0076,5.1,0.2076,0
0.30937,5.2259e-06,0,0,1.4914,1,0.0095,5.1,0.2095,0
0.31421,5.4384e-06,0,0,1.4914,1,0.0114,5.1,0.2114,0
0.31905,5.651e-06,0,0,1.4914,1,0.0133,5.1,0.2133,0
0.32388,5.8635e-06,0,0,1.4914,1,0.0152,5.1,0.2152,0
0.32872,6.076e-06,0,0,1.4914,1,0.0171,5.1,0.2171,0
0.33356,6.2886e-06,0,0,1.4914,1,0.019,5.1,0.219,0
0.3384,6.5011e-06,0,0,1.4914,1,0.0209,5.1,0.2209,0
0.34323,6.7137e-06,0,0,1.4914,1,0.0228,5.1,0.2228,0
0.34807,6.9262e-06,0,0,1.4914,1,0.0247,5.1,0.2247,0
0.35291,7.1388e-06,0,0,1.4914,1,0.0266,5.1,0.2266,0
0.35774,7.3513e-06,0,0,1.4914,1,0.0285,5.1,0.2285,0
0.36258,7.5639e-06,0,0,1.4914,1,0.0304,5.1,0.2304,0
0.36742,7.7764e-06,0,0,1.4914,1,0.0323,5.1,0.2323,0
0.37226,7.9889e-06,0,0,1.4914,1,0.0342,5.1,0.2342,0
0.37709,8.2015e-06,0,0,1.4914,1,0.0361,5.1,0.2361,0
0.38193,8.414e-06,0,0,1.4914,1,0.038,5.1,0.238,0
0.38677,8.6266e-06,0,0,1.4914,1,0.0399,5.1,0.2399,0
0.39161,8.8391e-06,0,0,1.4914,1,0.0418,5.1,0.2418,0
0.39644,9.0517e-06,0,0,1.4914,1,0.0437,5.1,0.2437,0
0.40128,9.2642e-06,0,0,1.4914,1,0.0456,5.1,0.2456,0
0.40612,9.4767e-06,0,0,1.4914,1,0.0475,5.1,0.2475,0
0.41096,9.6893e-06,0,0,1.4914,1,0.0494,5.1,0.2494,0
0.41579,9.9018e-06,0,0,1.4914,1,0.0513,5.1,0.2513,0
0.42063,1.0114e-05,0,0,1.4914,1,0.0532,5.1,0.2532,0
0.42547,1.0327e-05,0,0,1.4914,1,0.0551,5.1,0.2551,0
0.43031,1.0539e-05,0,0,1.4914,1,0.057,5.1,0.257,0
0.43514,1.0752e-05,0,0,1.4914,1,0.0589,5.1,0.2589,0
0.43998,1.0965e-05,0,0,1.4914,1,0.0608,5.1,0.2608,0
0.44482,1.1177e-05,0,0,1.4914,1,0.0627,5.1,0.2627,0
0.44966,1.139e-05,0,0,1.4914,1,0.0646,5.1,0.2646,0
0.45449,1.1602e-05,0,0,1.4914,1,0.0665,5.1,0.2665,0
0.45933,1.1815e-05,0,0,1.4914,1,0.0684,5.1,0.2684,0
0.46417,1.2027e-05,0,0,1.4914,1,0.0703,5.1,0.2703,0
0.46901,1.224e-05,0,0,1.4914,1,0.0722,5.1,0.2722,0
0.47384,1.2452e-05,0,0,1.4914,1,0.0741,5.1,0.2741,0
0.47868,1.2665e-05,0,0,1.4914,1,0.076,5.1,0.276,0
0.48352,1.2877e-05,0,0,1.4914,1,0.0779,5.1,0.2779,0
0.48836,1.309e-05,0,0,1.4914,1,0.0798,5.1,0.2798,0
0.49319,1.3303e-05,0,0,1.4914,1,0.0817,5.1,0.2817,0
0.49803,1.3515e-05,0,0,1.4914,1,0.0836,5.1,0.2836,0
0.50287,1.3728e-05,0,0,1.4914,1,0.0855,5.1,0.2855,0
0.50771,1.394e-05,0,0,1.4914,1,0.0874,5.1,0.2874,0
0.51254,1.4153e-05,0,0,1.4914,1,0.0893,5.1,0.2893,0
0.51738,1.4365e-05,0,0,1.4914,1,0.0912,5.1,0.2912,0
0.52222,1.4578e-05,0,0,1.4914,1,0.0931,5.1,0.2931,0
0.52706,1.479e-05,0,0,1.4914,1,0.095,5.1,0.295,0
0.53189,1.5003e-05,0,0,1.4914,1,0.0969,5.1,0.2969,0
0.53673,1.5215e-05,0,0,1.4914,1,0.0988,5.1,0.2988,0
0.54135,1.5457e-05,0,0,1.4914,1,0.1007,5.1,0.3007,0
0.54561,1.575e-05,0,0,1.4914,1,0.1026,5.1,0.3026,0
0.54987,1.6042e-05,0,0,1.4914,1,0.1045,5.1,0.3045,0
0.55412,1.6334e-05,0,0,1.4914,1,0.1064,5.1,0.3064,0
0.55838,1.6626e-05,0,0,1.4914,1,0.1083,5.1,0.3083,0
0.56264,1.6919e-05,0,0,1.4914,1,0.1102,5.1,0.3102,0
0.56689,1.7211e-05,0,0,1.4914,1,0.1121,5.1,0.3121,0
0.57115,1.7503e-05,0,0,1.4914,1,0.114,5.1,0.314,0
0.57541,1.7795e-05,0,0,1.4914,1,0.1159,5.1,0.3159,0
0.57966,1.8088e-05,0,0,1.4914,1,0.1178,5.1,0.3178,0
0.58392,1.838e-05,0,0,1.4914,1,0.1197,5.1,0.3197,0
0.58818,1.8672e-05,0,0,1.4914,1,0.1216,5.1,0.3216,0
0.59243,1.8964e-05,0,0,1.4914,1,0.1235,5.1,0.3235,0
0.59669,1.9257e-05,0,0,1.4914,1,0.1254,5.1,0.3254,0
0.60095,1.9549e-05,0,0,1.4914,1,0.1273,5.1,0.3273,0
0.6052,1.9841e-05,0,0,1.4914,1,0.1292,5.1,0.3292,0
0.60946,2.0133e-05,0,0,1.4914,1,0.1311,5.1,0.3311,0
0.61372,2.0426e-05,0,0,1.4914,1,0.133,5.1,0.333,0
0.61797,2.0718e-05,0,0,1.4914,1,0.1349,5.1,0.3349,0
0.62223,2.101e-05,0,0,1.4914,1,0.1368,5.1,0.3368,0
0.62649,2.1303e-05,0,0,1.4914,1,0.1387,5.1,0.3387,0
0.63074,2.1595e-05,0,0,1.4914,1,0.1406,5.1,0.3406,0
0.635,2.1887e-05,0,0,1.4914,1,0.1425,5.1,0.3425,0
0.63926,2.2179e-05,0,0,1.4914,1,0.1444,5.1,0.3444,0
0.64351,2.2472e-05,0,0,1.4914,1,0.1463,5.1,0.3463,0
0.64777,2.2764e-05,0,0,1.4914,1,0.1482,5.1,0.3482,0
0.65203,2.3056e-05,0,0,1.4914,1,0.1501,5.1,0.3501,0
0.65628,2.3348e-05,0,0,1.4914,1,0.152,5.1,0.352,0
0.66054,2.3641e-05,0,0,1.4914,1,0.1539,5.1,0.3539,0
0.6648,2.3933e-05,0,0,1.4914,1,0.1558,5.1,0.3558,0
0.66905,2.4225e-05,0,0,1.4914,1,0.1577,5.1,0.3577,0
0.67331,2.4517e-05,0,0,1.4914,1,0.1596,5.1,0.3596,0
0.67757,2.481e-05,0,0,1.4914,1,0.1615,5.1,0.3615,0
0.68182,2.5102e-05,0,0,1.4914,1,0.1634,5.1,0.3634,0
0.68608,2.5394e-05,0,0,1.4914,1,0.1653,5.1,0.3653,0
0.69034,2.5686e-05,0,0,1.4914,1,0.1672,5.1,0.3672,0
0.69459,2.5979e-05,0,0,1.4914,1,0.1691,5.1,0.3691,0
0.69885,2.6271e-05,0,0,1.4914,1,0.171,5.1,0.371,0
0.70311,2.6563e-05,0,0,1.4914,1,0.1729,5.1,0.3729,0
0.70736,2.6855e-05,0,0,1.4914,1,0.1748,5.1,0.3748,0
